day,group,conversion_rate
1,A,0.907423766
2,A,0.873417409
3,A,0.096596022
4,A,0.14379742
5,A,1
6,A,0.133295289
7,A,0.484500324
8,A,0.567822906
9,A,0.547286353
10,A,0.537880031
11,A,0.915933831
12,A,1
13,A,0.148592257
14,A,0.568017562
15,A,0.616959746
16,A,0.656213968
17,A,0.008984183
18,A,0.044194224
19,A,1
20,A,0.533906311
21,A,0.027346908
22,A,0.770110294
23,A,0.699397208
24,A,0.286251579
25,A,0.931372686
26,A,0.682135932
27,A,0.951637604
28,A,0.513901323
29,A,0.672727763
30,A,0.724870672
31,A,1
32,A,0.96634669
33,A,0.463743285
34,A,1
35,A,0.180485216
36,A,0.016489372
37,A,0.096780163
38,A,0.234214241
39,A,0.052185677
40,A,0.239468027
41,A,0.445327373
42,A,0.165465689
43,A,0.806118817
44,A,0.165822031
45,A,0.506659837
46,A,0.97544154
47,A,0.026194875
48,A,0.226544839
49,A,1
50,A,1
51,A,0.076357213
52,A,0.284795719
53,A,0.62360427
54,A,0.060918193
55,A,0.193026439
56,A,0.872331706
57,A,0.183369299
58,A,0.055713311
59,A,0.447881875
60,A,0.150690195
61,A,0.545711659
62,A,0.192352709
63,A,0.875477295
64,A,0.274707077
65,A,0.264427047
66,A,0.156812574
67,A,0.40563335
68,A,0.233426354
69,A,0.792923643
70,A,0.184532147
71,A,1
72,A,0.092477218
73,A,0.527512783
74,A,0.214792472
75,A,1
